,0
org_balance_minus_amount_gap,0.36930972
newbalanceorig,0.35821778
type_PAYMENT,0.10789076
delta_org,0.06745309
amount_over_oldorg,0.04237776
dest_prefix_M,0.021370452
amount,0.010331398
type_TRANSFER,0.003697724
abs_delta_org,0.0032010863
type_CASH_OUT,0.0026695104
amount_over_olddest,0.0024228734
type_DEBIT,0.0022826537
oldbalanceorg,0.0020151527
delta_dest,0.0015320381
abs_delta_dest,0.0011050579
oldbalancedest,0.0010110743
dest_tenure,0.0007286097
step,0.00052844215
dest_avg_in_amount_prev,0.0005001064
dest_cum_in_amount_prev,0.00040473707
newbalancedest,0.00036210648
dest_txn_count_prev,0.00033586065
dest_time_since_prev,0.00017501718
orig_tenure,7.704313e-05
orig_time_since_prev,0.0
orig_txn_count_prev,0.0
orig_cum_amount_prev,0.0
orig_avg_amount_prev,0.0
