,importance
org_balance_minus_amount_gap,0.33463285811497734
delta_org,0.19014927439596488
newbalanceorig,0.10845956139374653
abs_delta_org,0.09094875987170788
oldbalanceorg,0.06787373696852603
amount,0.04460649321300088
type_PAYMENT,0.042610608188586606
type_TRANSFER,0.03147162567951127
delta_dest,0.02948585183897378
abs_delta_dest,0.020395085546249945
newbalancedest,0.01308735596838327
type_CASH_OUT,0.012490035960906967
oldbalancedest,0.009189359038155593
step,0.004212709078686256
type_DEBIT,0.0003866847426229281
